"Label (Grouping)","Alcona County, Michigan!!Estimate","Alcona County, Michigan!!Margin of Error","Alger County, Michigan!!Estimate","Alger County, Michigan!!Margin of Error","Allegan County, Michigan!!Estimate","Allegan County, Michigan!!Margin of Error","Alpena County, Michigan!!Estimate","Alpena County, Michigan!!Margin of Error","Antrim County, Michigan!!Estimate","Antrim County, Michigan!!Margin of Error","Arenac County, Michigan!!Estimate","Arenac County, Michigan!!Margin of Error","Baraga County, Michigan!!Estimate","Baraga County, Michigan!!Margin of Error","Barry County, Michigan!!Estimate","Barry County, Michigan!!Margin of Error","Bay County, Michigan!!Estimate","Bay County, Michigan!!Margin of Error","Benzie County, Michigan!!Estimate","Benzie County, Michigan!!Margin of Error","Berrien County, Michigan!!Estimate","Berrien County, Michigan!!Margin of Error","Branch County, Michigan!!Estimate","Branch County, Michigan!!Margin of Error","Calhoun County, Michigan!!Estimate","Calhoun County, Michigan!!Margin of Error","Cass County, Michigan!!Estimate","Cass County, Michigan!!Margin of Error","Charlevoix County, Michigan!!Estimate","Charlevoix County, Michigan!!Margin of Error","Cheboygan County, Michigan!!Estimate","Cheboygan County, Michigan!!Margin of Error","Chippewa County, Michigan!!Estimate","Chippewa County, Michigan!!Margin of Error","Clare County, Michigan!!Estimate","Clare County, Michigan!!Margin of Error","Clinton County, Michigan!!Estimate","Clinton County, Michigan!!Margin of Error","Crawford County, Michigan!!Estimate","Crawford County, Michigan!!Margin of Error","Delta County, Michigan!!Estimate","Delta County, Michigan!!Margin of Error","Dickinson County, Michigan!!Estimate","Dickinson County, Michigan!!Margin of Error","Eaton County, Michigan!!Estimate","Eaton County, Michigan!!Margin of Error","Emmet County, Michigan!!Estimate","Emmet County, Michigan!!Margin of Error","Genesee County, Michigan!!Estimate","Genesee County, Michigan!!Margin of Error","Gladwin County, Michigan!!Estimate","Gladwin County, Michigan!!Margin of Error","Gogebic County, Michigan!!Estimate","Gogebic County, Michigan!!Margin of Error","Grand Traverse County, Michigan!!Estimate","Grand Traverse County, Michigan!!Margin of Error","Gratiot County, Michigan!!Estimate","Gratiot County, Michigan!!Margin of Error","Hillsdale County, Michigan!!Estimate","Hillsdale County, Michigan!!Margin of Error","Houghton County, Michigan!!Estimate","Houghton County, Michigan!!Margin of Error","Huron County, Michigan!!Estimate","Huron County, Michigan!!Margin of Error","Ingham County, Michigan!!Estimate","Ingham County, Michigan!!Margin of Error","Ionia County, Michigan!!Estimate","Ionia County, Michigan!!Margin of Error","Iosco County, Michigan!!Estimate","Iosco County, Michigan!!Margin of Error","Iron County, Michigan!!Estimate","Iron County, Michigan!!Margin of Error","Isabella County, Michigan!!Estimate","Isabella County, Michigan!!Margin of Error","Jackson County, Michigan!!Estimate","Jackson County, Michigan!!Margin of Error","Kalamazoo County, Michigan!!Estimate","Kalamazoo County, Michigan!!Margin of Error","Kalkaska County, Michigan!!Estimate","Kalkaska County, Michigan!!Margin of Error","Kent County, Michigan!!Estimate","Kent County, Michigan!!Margin of Error","Keweenaw County, Michigan!!Estimate","Keweenaw County, Michigan!!Margin of Error","Lake County, Michigan!!Estimate","Lake County, Michigan!!Margin of Error","Lapeer County, Michigan!!Estimate","Lapeer County, Michigan!!Margin of Error","Leelanau County, Michigan!!Estimate","Leelanau County, Michigan!!Margin of Error","Lenawee County, Michigan!!Estimate","Lenawee County, Michigan!!Margin of Error","Livingston County, Michigan!!Estimate","Livingston County, Michigan!!Margin of Error","Luce County, Michigan!!Estimate","Luce County, Michigan!!Margin of Error","Mackinac County, Michigan!!Estimate","Mackinac County, Michigan!!Margin of Error","Macomb County, Michigan!!Estimate","Macomb County, Michigan!!Margin of Error","Manistee County, Michigan!!Estimate","Manistee County, Michigan!!Margin of Error","Marquette County, Michigan!!Estimate","Marquette County, Michigan!!Margin of Error","Mason County, Michigan!!Estimate","Mason County, Michigan!!Margin of Error","Mecosta County, Michigan!!Estimate","Mecosta County, Michigan!!Margin of Error","Menominee County, Michigan!!Estimate","Menominee County, Michigan!!Margin of Error","Midland County, Michigan!!Estimate","Midland County, Michigan!!Margin of Error","Missaukee County, Michigan!!Estimate","Missaukee County, Michigan!!Margin of Error","Monroe County, Michigan!!Estimate","Monroe County, Michigan!!Margin of Error","Montcalm County, Michigan!!Estimate","Montcalm County, Michigan!!Margin of Error","Montmorency County, Michigan!!Estimate","Montmorency County, Michigan!!Margin of Error","Muskegon County, Michigan!!Estimate","Muskegon County, Michigan!!Margin of Error","Newaygo County, Michigan!!Estimate","Newaygo County, Michigan!!Margin of Error","Oakland County, Michigan!!Estimate","Oakland County, Michigan!!Margin of Error","Oceana County, Michigan!!Estimate","Oceana County, Michigan!!Margin of Error","Ogemaw County, Michigan!!Estimate","Ogemaw County, Michigan!!Margin of Error","Ontonagon County, Michigan!!Estimate","Ontonagon County, Michigan!!Margin of Error","Osceola County, Michigan!!Estimate","Osceola County, Michigan!!Margin of Error","Oscoda County, Michigan!!Estimate","Oscoda County, Michigan!!Margin of Error","Otsego County, Michigan!!Estimate","Otsego County, Michigan!!Margin of Error","Ottawa County, Michigan!!Estimate","Ottawa County, Michigan!!Margin of Error","Presque Isle County, Michigan!!Estimate","Presque Isle County, Michigan!!Margin of Error","Roscommon County, Michigan!!Estimate","Roscommon County, Michigan!!Margin of Error","Saginaw County, Michigan!!Estimate","Saginaw County, Michigan!!Margin of Error","St. Clair County, Michigan!!Estimate","St. Clair County, Michigan!!Margin of Error","St. Joseph County, Michigan!!Estimate","St. Joseph County, Michigan!!Margin of Error","Sanilac County, Michigan!!Estimate","Sanilac County, Michigan!!Margin of Error","Schoolcraft County, Michigan!!Estimate","Schoolcraft County, Michigan!!Margin of Error","Shiawassee County, Michigan!!Estimate","Shiawassee County, Michigan!!Margin of Error","Tuscola County, Michigan!!Estimate","Tuscola County, Michigan!!Margin of Error","Van Buren County, Michigan!!Estimate","Van Buren County, Michigan!!Margin of Error","Washtenaw County, Michigan!!Estimate","Washtenaw County, Michigan!!Margin of Error","Wayne County, Michigan!!Estimate","Wayne County, Michigan!!Margin of Error","Wexford County, Michigan!!Estimate","Wexford County, Michigan!!Margin of Error"
"Total:","605","±95","635","±117","6,836","±498","2,754","±275","1,256","±207","998","±118","682","±114","3,902","±365","10,679","±756","630","±91","18,155","±888","4,041","±276","16,488","±662","3,974","±308","2,146","±232","1,794","±221","4,317","±372","2,012","±213","5,392","±327","1,139","±203","3,616","±385","2,366","±274","12,350","±611","3,657","±298","51,197","±1,320","1,519","±147","1,548","±218","8,919","±581","3,634","±302","4,104","±236","4,596","±327","2,708","±207","46,799","±1,169","5,452","±377","2,263","±233","894","±124","9,305","±367","15,985","±828","37,023","±1,180","1,077","±140","72,573","±1,542","123","±46","824","±129","5,061","±377","1,023","±184","8,577","±552","10,866","±574","444","±99","1,420","±182","90,367","±1,904","1,492","±177","7,742","±448","2,957","±331","4,155","±318","2,249","±257","7,787","±553","1,254","±119","11,790","±581","4,895","±371","642","±115","15,702","±732","3,020","±224","146,564","±2,390","1,689","±179","1,719","±208","334","±63","1,651","±121","528","±105","2,249","±282","22,617","±990","667","±126","2,255","±264","22,471","±1,003","13,823","±622","6,294","±464","3,867","±260","597","±143","6,404","±412","3,535","±301","6,694","±505","55,102","±1,078","260,623","±3,256","2,830","±216"
"    Less than 10.0 percent","23","±15","11","±14","220","±88","74","±41","24","±15","72","±38","65","±27","137","±79","439","±157","37","±25","692","±163","256","±104","546","±177","186","±83","58","±43","54","±29","245","±89","50","±32","313","±112","25","±30","152","±57","98","±79","505","±159","253","±122","1,953","±360","32","±18","75","±51","240","±160","104","±54","147","±64","187","±106","213","±67","1,527","±303","321","±124","71","±35","43","±27","262","±96","887","±275","1,549","±338","27","±19","2,334","±350","1","±2","14","±11","304","±106","52","±26","534","±167","301","±107","19","±21","78","±37","3,584","±560","70","±42","298","±128","96","±46","166","±75","211","±96","295","±121","53","±31","465","±168","205","±73","8","±7","506","±187","121","±66","7,042","±671","41","±27","37","±23","7","±7","98","±42","32","±29","87","±47","938","±228","24","±14","36","±30","617","±177","494","±160","505","±181","119","±48","2","±3","283","±82","136","±52","446","±142","2,020","±341","8,958","±737","122","±79"
"    10.0 to 14.9 percent","33","±20","24","±16","585","±174","181","±81","134","±78","63","±27","68","±45","489","±163","1,147","±272","39","±19","1,710","±301","356","±96","1,220","±313","401","±109","163","±62","185","±80","445","±171","121","±67","524","±142","71","±42","270","±102","246","±98","1,440","±225","267","±97","4,138","±621","59","±26","185","±110","819","±179","344","±117","545","±157","311","±93","291","±85","3,950","±462","703","±173","312","±120","65","±38","673","±133","1,206","±230","3,842","±529","123","±53","6,484","±638","20","±24","30","±20","433","±144","105","±55","892","±176","977","±237","30","±22","174","±86","8,868","±785","148","±60","576","±134","240","±119","260","±104","286","±130","811","±206","135","±49","1,195","±225","555","±163","29","±27","1,175","±295","328","±104","17,026","±1,082","100","±37","178","±80","13","±13","125","±38","69","±50","183","±100","2,135","±360","33","±20","141","±79","2,059","±408","1,126","±199","627","±144","370","±89","64","±52","700","±163","365","±115","394","±116","5,386","±532","21,347","±1,173","211","±79"
"    15.0 to 19.9 percent","68","±29","182","±67","812","±185","294","±110","152","±59","144","±52","80","±35","494","±177","1,077","±236","79","±40","2,412","±461","549","±124","2,207","±368","416","±136","317","±91","146","±62","522","±177","118","±52","806","±139","155","±69","479","±152","355","±125","2,137","±323","528","±156","5,516","±506","119","±44","252","±79","902","±210","434","±115","540","±106","287","±94","306","±83","6,136","±585","1,000","±201","359","±117","141","±64","999","±220","2,079","±381","4,833","±600","130","±47","9,439","±612","37","±24","48","±33","480","±121","147","±57","989","±201","1,450","±292","66","±35","124","±50","10,901","±825","129","±56","892","±162","302","±104","401","±127","200","±69","1,070","±246","131","±39","1,313","±334","494","±127","69","±37","1,984","±341","331","±91","22,358","±1,083","224","±64","181","±65","37","±23","202","±48","27","±20","253","±112","3,442","±487","75","±37","196","±77","1,805","±312","1,604","±325","784","±125","441","±98","19","±18","1,036","±213","469","±125","763","±175","6,397","±591","27,835","±1,374","339","±97"
"    20.0 to 24.9 percent","51","±28","16","±22","957","±249","339","±106","141","±63","131","±40","117","±46","445","±174","1,469","±314","28","±19","2,072","±381","599","±127","1,924","±261","382","±150","254","±87","256","±105","365","±112","213","±66","634","±158","41","±35","520","±191","189","±81","1,873","±268","432","±112","5,992","±665","253","±92","90","±40","984","±222","416","±131","407","±89","519","±120","279","±99","5,480","±584","572","±163","259","±103","59","±27","1,105","±215","1,805","±376","4,656","±522","90","±43","9,641","±853","21","±23","74","±38","540","±125","105","±57","1,114","±212","1,667","±379","58","±32","131","±46","11,957","±901","164","±70","641","±162","368","±109","383","±164","287","±84","942","±243","78","±30","1,255","±265","528","±135","32","±24","2,246","±361","185","±69","18,552","±971","178","±53","79","±38","34","±24","146","±46","55","±33","345","±138","2,862","±438","73","±42","210","±94","2,555","±350","1,538","±268","915","±227","515","±125","44","±41","582","±146","453","±131","732","±199","5,990","±555","26,686","±1,276","252","±69"
"    25.0 to 29.9 percent","33","±21","47","±25","797","±224","563","±163","166","±99","106","±55","45","±29","465","±145","1,486","±361","54","±32","1,624","±323","481","±181","2,128","±366","385","±128","241","±69","216","±99","551","±178","160","±61","441","±118","169","±75","507","±125","155","±90","1,448","±315","555","±172","5,390","±632","275","±73","149","±77","1,053","±237","348","±125","412","±88","537","±170","217","±63","4,765","±536","629","±153","230","±100","87","±45","702","±151","1,786","±336","3,615","±496","133","±56","8,362","±799","10","±10","86","±36","376","±96","86","±43","962","±217","1,290","±272","39","±27","104","±43","9,304","±1,008","153","±64","991","±229","310","±103","589","±160","253","±97","794","±197","145","±45","1,358","±335","547","±173","47","±24","1,603","±238","309","±114","15,455","±1,236","293","±100","190","±64","61","±26","172","±54","66","±43","160","±80","1,971","±378","59","±25","261","±103","2,586","±464","1,476","±247","725","±161","301","±67","85","±66","644","±149","349","±87","690","±194","5,829","±568","26,282","±1,458","480","±144"
"    30.0 to 34.9 percent","48","±23","113","±59","550","±154","338","±122","72","±35","63","±33","32","±18","181","±91","656","±177","55","±33","1,559","±322","192","±71","1,200","±268","342","±133","285","±115","107","±55","250","±97","208","±68","319","±92","72","±41","262","±104","194","±73","917","±174","272","±91","3,466","±448","96","±56","110","±58","777","±203","395","±175","447","±152","256","±95","182","±45","3,344","±475","603","±220","232","±86","115","±45","789","±182","1,120","±198","2,970","±396","114","±53","6,441","±523","6","±6","123","±59","503","±145","105","±48","556","±132","1,014","±186","46","±22","42","±20","8,246","±776","102","±44","791","±180","414","±174","310","±114","242","±85","734","±219","141","±68","1,076","±276","343","±98","39","±20","1,072","±241","295","±118","10,291","±768","85","±40","69","±35","31","±21","93","±27","80","±45","209","±110","2,226","±409","65","±37","254","±97","2,383","±472","1,419","±259","453","±125","315","±70","102","±56","578","±151","181","±72","727","±202","4,024","±460","20,934","±1,138","280","±102"
"    35.0 to 39.9 percent","31","±25","28","±26","361","±102","102","±57","55","±27","66","±24","25","±19","92","±58","703","±216","14","±12","1,322","±297","300","±112","918","±211","112","±49","99","±46","99","±61","266","±90","143","±56","208","±74","49","±27","111","±62","121","±84","643","±199","165","±59","3,420","±460","82","±45","58","±28","554","±230","235","±81","139","±49","239","±78","129","±44","2,610","±447","233","±81","133","±49","57","±41","340","±87","999","±274","2,227","±439","78","±40","4,497","±662","0","±11","32","±27","346","±110","87","±59","525","±189","542","±217","25","±21","83","±55","4,716","±501","80","±50","434","±122","174","±86","331","±130","53","±43","406","±134","57","±38","916","±265","375","±123","51","±35","1,070","±213","98","±38","7,735","±646","68","±31","98","±38","16","±14","86","±33","16","±15","83","±56","1,287","±320","33","±45","108","±59","1,433","±245","860","±202","271","±104","182","±66","25","±22","525","±149","226","±101","474","±169","2,866","±417","14,327","±946","143","±72"
"    40.0 to 49.9 percent","43","±18","55","±38","737","±222","260","±102","150","±72","54","±18","43","±28","314","±103","856","±233","55","±33","1,355","±207","346","±119","1,709","±361","312","±111","177","±92","87","±47","426","±139","230","±75","534","±147","121","±66","209","±105","222","±105","799","±193","296","±135","4,281","±530","71","±30","110","±53","828","±261","217","±88","368","±101","420","±150","179","±44","3,885","±538","358","±88","134","±74","19","±14","647","±159","1,612","±325","3,467","±580","31","±18","5,769","±681","0","±11","83","±36","296","±81","88","±56","749","±192","801","±247","3","±4","48","±36","7,728","±804","165","±75","656","±137","381","±224","188","±75","207","±86","507","±143","152","±55","1,278","±287","466","±143","44","±32","1,585","±296","154","±58","10,605","±893","93","±36","252","±91","3","±6","117","±49","15","±12","293","±150","1,751","±489","56","±30","229","±131","1,803","±292","1,264","±251","448","±150","296","±85","52","±62","523","±172","242","±73","484","±132","4,150","±539","20,266","±1,154","177","±68"
"    50.0 percent or more","114","±41","72","±33","911","±208","382","±95","180","±50","160","±48","96","±36","782","±229","2,086","±345","116","±40","4,030","±532","539","±101","3,753","±417","675","±179","372","±112","407","±125","693","±197","417","±110","1,038","±170","233","±75","585","±142","497","±187","2,063","±332","511","±117","13,011","±1,015","291","±65","268","±86","2,183","±373","691","±171","526","±114","1,277","±208","496","±88","12,582","±875","704","±187","325","±89","121","±37","3,004","±415","3,156","±441","8,265","±782","233","±80","16,211","±1,042","14","±16","168","±53","1,310","±216","163","±81","1,590","±285","2,023","±334","100","±55","256","±101","20,838","±1,144","303","±80","1,896","±290","409","±116","982","±159","337","±111","1,882","±368","184","±51","2,168","±338","854","±177","151","±61","3,114","±410","610","±137","30,343","±1,639","360","±109","381","±84","59","±27","306","±65","70","±32","474","±139","4,637","±543","102","±50","536","±138","5,530","±604","3,132","±359","1,066","±210","529","±77","86","±47","1,132","±276","573","±100","1,155","±277","15,509","±876","70,289","±2,359","622","±185"
