cost_burden,household_income,county,value
Severly Cost Burdened (50% or more),80+% AMI,Alcona County,4.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Alcona County,300.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Alcona County,40.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Alcona County,135.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Alcona County,75.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Alcona County,110.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Alcona County,215.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Alcona County,190.0
Unburdened (Less than 30%),80+% AMI,Alcona County,2567.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Alcona County,210.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Alcona County,770.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Alcona County,320.0
Severly Cost Burdened (50% or more),80+% AMI,Alger County,0.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Alger County,170.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Alger County,15.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Alger County,90.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Alger County,70.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Alger County,55.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Alger County,190.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Alger County,135.0
Unburdened (Less than 30%),80+% AMI,Alger County,1701.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Alger County,50.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Alger County,355.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Alger County,205.0
Severly Cost Burdened (50% or more),80+% AMI,Allegan County,85.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Allegan County,1990.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Allegan County,415.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Allegan County,1040.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Allegan County,575.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Allegan County,635.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Allegan County,1575.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Allegan County,1345.0
Unburdened (Less than 30%),80+% AMI,Allegan County,26730.0
Unburdened (Less than 30%),Extremely Low Income (0-30% AMI),Allegan County,980.0
Unburdened (Less than 30%),Low Income (51-80% AMI),Allegan County,4870.0
Unburdened (Less than 30%),Very Low Income (31-50% AMI),Allegan County,1810.0
Severly Cost Burdened (50% or more),80+% AMI,Alpena County,15.0
Severly Cost Burdened (50% or more),Extremely Low Income (0-30% AMI),Alpena County,760.0
Severly Cost Burdened (50% or more),Low Income (51-80% AMI),Alpena County,100.0
Severly Cost Burdened (50% or more),Very Low Income (31-50% AMI),Alpena County,320.0
"Cost Burdened (30% or more, but less than 50%)",80+% AMI,Alpena County,125.0
"Cost Burdened (30% or more, but less than 50%)",Extremely Low Income (0-30% AMI),Alpena County,245.0
"Cost Burdened (30% or more, but less than 50%)",Low Income (51-80% AMI),Alpena County,415.0
"Cost Burdened (30% or more, but less than 50%)",Very Low Income (31-50% AMI),Alpena County,605.0
