NAME,No_of_Rooms,Rent
Alcona County,1 Room,539
Alcona County,2 Rooms,600
Alcona County,3 Rooms,794
Alcona County,4 Rooms,835
Alcona County,5 or more Rooms,0
Alcona County,No Rooms,0
Alger County,1 Room,515
Alger County,2 Rooms,814
Alger County,3 Rooms,642
Alger County,4 Rooms,0
Alger County,5 or more Rooms,0
Alger County,No Rooms,0
Allegan County,1 Room,613
Allegan County,2 Rooms,838
Allegan County,3 Rooms,1001
Allegan County,4 Rooms,994
Allegan County,5 or more Rooms,963
Allegan County,No Rooms,745
Alpena County,1 Room,407
Alpena County,2 Rooms,609
Alpena County,3 Rooms,670
Alpena County,4 Rooms,913
Alpena County,5 or more Rooms,0
Alpena County,No Rooms,281
Antrim County,1 Room,629
Antrim County,2 Rooms,784
Antrim County,3 Rooms,855
Antrim County,4 Rooms,1115
Antrim County,5 or more Rooms,0
Antrim County,No Rooms,509
Arenac County,1 Room,376
Arenac County,2 Rooms,576
Arenac County,3 Rooms,832
Arenac County,4 Rooms,850
Arenac County,5 or more Rooms,711
Arenac County,No Rooms,335
Baraga County,1 Room,433
Baraga County,2 Rooms,637
Baraga County,3 Rooms,646
Baraga County,4 Rooms,840
Baraga County,5 or more Rooms,0
Baraga County,No Rooms,281
Barry County,1 Room,634
Barry County,2 Rooms,863
Barry County,3 Rooms,1036
Barry County,4 Rooms,1065
Barry County,5 or more Rooms,742
Barry County,No Rooms,488
Bay County,1 Room,518
Bay County,2 Rooms,755
Bay County,3 Rooms,881
Bay County,4 Rooms,880
Bay County,5 or more Rooms,796
Bay County,No Rooms,544
Benzie County,1 Room,375
Benzie County,2 Rooms,920
Benzie County,3 Rooms,788
Benzie County,4 Rooms,1070
Benzie County,5 or more Rooms,1617
Benzie County,No Rooms,0
Berrien County,1 Room,591
Berrien County,2 Rooms,808
Berrien County,3 Rooms,941
Berrien County,4 Rooms,943
Berrien County,5 or more Rooms,1280
Berrien County,No Rooms,504
Branch County,1 Room,563
Branch County,2 Rooms,718
Branch County,3 Rooms,872
Branch County,4 Rooms,868
Branch County,5 or more Rooms,1119
Branch County,No Rooms,669
Calhoun County,1 Room,647
Calhoun County,2 Rooms,803
Calhoun County,3 Rooms,898
Calhoun County,4 Rooms,1064
Calhoun County,5 or more Rooms,1056
Calhoun County,No Rooms,702
Cass County,1 Room,565
Cass County,2 Rooms,697
Cass County,3 Rooms,905
Cass County,4 Rooms,1007
Cass County,5 or more Rooms,776
Cass County,No Rooms,537
Charlevoix County,1 Room,545
Charlevoix County,2 Rooms,747
Charlevoix County,3 Rooms,1072
Charlevoix County,4 Rooms,1098
Charlevoix County,5 or more Rooms,0
Charlevoix County,No Rooms,523
Cheboygan County,1 Room,443
Cheboygan County,2 Rooms,769
Cheboygan County,3 Rooms,773
Cheboygan County,4 Rooms,950
Cheboygan County,5 or more Rooms,0
Cheboygan County,No Rooms,289
Chippewa County,1 Room,573
Chippewa County,2 Rooms,818
Chippewa County,3 Rooms,724
Chippewa County,4 Rooms,757
Chippewa County,5 or more Rooms,807
Chippewa County,No Rooms,440
Clare County,1 Room,483
Clare County,2 Rooms,669
Clare County,3 Rooms,796
Clare County,4 Rooms,972
Clare County,5 or more Rooms,975
Clare County,No Rooms,370
Clinton County,1 Room,750
Clinton County,2 Rooms,840
Clinton County,3 Rooms,996
Clinton County,4 Rooms,852
Clinton County,5 or more Rooms,825
Clinton County,No Rooms,573
Crawford County,1 Room,603
Crawford County,2 Rooms,739
Crawford County,3 Rooms,832
Crawford County,4 Rooms,883
Crawford County,5 or more Rooms,0
Crawford County,No Rooms,436
Delta County,1 Room,381
Delta County,2 Rooms,607
Delta County,3 Rooms,731
Delta County,4 Rooms,1123
Delta County,5 or more Rooms,1172
Delta County,No Rooms,420
Dickinson County,1 Room,553
Dickinson County,2 Rooms,678
Dickinson County,3 Rooms,749
Dickinson County,4 Rooms,725
Dickinson County,5 or more Rooms,1398
Dickinson County,No Rooms,654
Eaton County,1 Room,711
Eaton County,2 Rooms,895
Eaton County,3 Rooms,1104
Eaton County,4 Rooms,971
Eaton County,5 or more Rooms,1202
Eaton County,No Rooms,800
Emmet County,1 Room,634
Emmet County,2 Rooms,882
Emmet County,3 Rooms,946
Emmet County,4 Rooms,1141
Emmet County,5 or more Rooms,1122
Emmet County,No Rooms,592
Genesee County,1 Room,624
Genesee County,2 Rooms,789
Genesee County,3 Rooms,917
Genesee County,4 Rooms,1024
Genesee County,5 or more Rooms,1118
Genesee County,No Rooms,546
Gladwin County,1 Room,446
Gladwin County,2 Rooms,605
Gladwin County,3 Rooms,814
Gladwin County,4 Rooms,825
Gladwin County,5 or more Rooms,0
Gladwin County,No Rooms,330
Gogebic County,1 Room,388
Gogebic County,2 Rooms,557
Gogebic County,3 Rooms,710
Gogebic County,4 Rooms,395
Gogebic County,5 or more Rooms,0
Gogebic County,No Rooms,0
Grand Traverse County,1 Room,853
Grand Traverse County,2 Rooms,966
Grand Traverse County,3 Rooms,1064
Grand Traverse County,4 Rooms,770
Grand Traverse County,5 or more Rooms,1368
Grand Traverse County,No Rooms,788
Gratiot County,1 Room,490
Gratiot County,2 Rooms,703
Gratiot County,3 Rooms,782
Gratiot County,4 Rooms,1164
Gratiot County,5 or more Rooms,725
Gratiot County,No Rooms,0
Hillsdale County,1 Room,523
Hillsdale County,2 Rooms,721
Hillsdale County,3 Rooms,859
Hillsdale County,4 Rooms,941
Hillsdale County,5 or more Rooms,1244
Hillsdale County,No Rooms,374
Houghton County,1 Room,528
Houghton County,2 Rooms,652
Houghton County,3 Rooms,930
Houghton County,4 Rooms,1518
Houghton County,5 or more Rooms,0
Houghton County,No Rooms,510
Huron County,1 Room,501
Huron County,2 Rooms,625
Huron County,3 Rooms,738
Huron County,4 Rooms,803
Huron County,5 or more Rooms,820
Huron County,No Rooms,0
Ingham County,1 Room,735
Ingham County,2 Rooms,937
Ingham County,3 Rooms,1129
Ingham County,4 Rooms,1112
Ingham County,5 or more Rooms,1212
Ingham County,No Rooms,734
Ionia County,1 Room,489
Ionia County,2 Rooms,813
Ionia County,3 Rooms,905
Ionia County,4 Rooms,1116
Ionia County,5 or more Rooms,610
Ionia County,No Rooms,579
Iosco County,1 Room,387
Iosco County,2 Rooms,663
Iosco County,3 Rooms,755
